FULL VALIDATION MODE: 1978 prompts

=== MiniLM L6 v2 ===  (sentence-transformers/all-MiniLM-L6-v2)
 Loading weights:   0%|          | 0/103 [00:00<?, ?it/s] Loading weights: 100%|██████████| 103/103 [00:00<00:00, 18775.02it/s]
[1mBertModel LOAD REPORT[0m from: sentence-transformers/all-MiniLM-L6-v2
Key                     | Status     |  | 
------------------------+------------+--+-
embeddings.position_ids | UNEXPECTED |  | 

Notes:
- UNEXPECTED:	can be ignored when loading from different task/architecture; not ok if you expect identical arch.
  load       : 3.1s
  encode 1978 prompts: 3202ms total, 1.6ms/prompt   dim=384
  cos same-domain pairs: mean=0.389  diff-domain: mean=0.044  separation Δ=0.345

--- MiniLM head predictions ---
prompt                                               | top-1 (score)        | target ok?
Generate a parametric FreeCAD sketch in Python for   | math               0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | kicad-dsl          0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | kicad-dsl          0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | kicad-dsl          0.96 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               0.98 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | kicad-dsl          0.97 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.96 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               0.97 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | kicad-dsl          0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.98 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | kicad-dsl          0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | kicad-dsl          0.96 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.98 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | kicad-dsl          1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | kicad-dsl          0.95 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | kicad-dsl          0.97 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | math               0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             1.00 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | kicad-dsl          0.98 | ✗ (target=freecad)
Generate a parametric FreeCAD sketch in Python for   | python             0.99 | ✗ (target=freecad)
Edit this HTML document so the <h1> tag at the top   | html-css           1.00 | ✓
Create a CSS style that makes a given text slightl   | html-css           1.00 | ✓
Explain how to use selectors and filters in CSS.     | html-css           1.00 | ✓
Write an HTML code snippet for creating a <button>   | html-css           1.00 | ✓
Modify the following HTML to open the page with a    | html-css           1.00 | ✓
Print the following string in HTML.                  | python             1.00 | ✗ (target=html-css)
Construct a HTML code which opens a popup window.    | html-css           1.00 | ✓
Modify the given CSS code to display the given HTM   | html-css           1.00 | ✓
Edit the following HTML form to add the required a   | html-css           1.00 | ✓
Edit a given HTML code to make the font size of 1s   | python             1.00 | ✗ (target=html-css)
Edit this HTML snippet such that it displays 'Hell   | html-css           1.00 | ✓
Create an HTML page with a table and list 3 books    | html-css           1.00 | ✓
Update the following CSS to center align the text    | html-css           1.00 | ✓
Create a HTML form with three text fields (First N   | html-css           1.00 | ✓
Code a HTML form that collects the user's first na   | html-css           1.00 | ✓
Create a HTML form containing 5 input fields - two   | html-css           1.00 | ✓
Create an HTML form for entering a user's age.       | html-css           1.00 | ✓
Write an HTML page to display a table of products    | html-css           1.00 | ✓
Write a CSS selector to target all paragraphs.       | html-css           1.00 | ✓
Write a python script to print 'Hello World' in HT   | python             1.00 | ✗ (target=html-css)
Create an HTML page with 4 sections containing tex   | html-css           1.00 | ✓
Create a simple HTML webpage without using any ext   | html-css           1.00 | ✓
Create a HTML form with three input fields for tak   | html-css           1.00 | ✓
Edit the given HTML structure to add a container e   | html-css           1.00 | ✓
Edit the HTML code snippet below to add the attrib   | html-css           1.00 | ✓
Create an HTML page to display the attendance of s   | html-css           1.00 | ✓
Write a CSS rule to hide the first two rows of a t   | html-css           1.00 | ✓
Write an HTML form to collect a user's name, email   | html-css           1.00 | ✓
Create an HTML table to visualize the following li   | html-css           1.00 | ✓
Create an HTML element that prints "Hello, World!"   | html-css           1.00 | ✓
Create an HTML page that displays "Welcome to our    | html-css           1.00 | ✓
Add a border to the first element of a list in CSS   | html-css           1.00 | ✓
Create a HTML form which includes a dropdown list    | sql                1.00 | ✗ (target=html-css)
Combine these two CSS selectors using combinators    | html-css           1.00 | ✓
Create a CSS class to override page text style.      | html-css           1.00 | ✓
Create a HTML page that displays the top 5 countri   | sql                1.00 | ✗ (target=html-css)
Write an HTML page that takes an email address as    | html-css           1.00 | ✓
Create the HTML component for a form field.          | html-css           1.00 | ✓
Convert the following line of HTML code to lowerca   | python             1.00 | ✗ (target=html-css)
Write a CSS rule to display a paragraph in italic    | html-css           1.00 | ✓
Construct an HTML page to display a table with 10    | html-css           1.00 | ✓
Create a new button using HTML.                      | html-css           1.00 | ✓
Create a web page that displays a greeting using H   | html-css           1.00 | ✓
Create a HTML page displaying a table of the 10 mo   | docker             0.99 | ✗ (target=html-css)
Create a CSS class which defines a black border wi   | html-css           1.00 | ✓
Create a basic HTML structure to show a blog post    | html-css           1.00 | ✓
Design an HTML form with 2 input fields: name and    | html-css           1.00 | ✓
Create a HTML page with a form containing two inpu   | lua-upy            1.00 | ✗ (target=html-css)
What is the HTML code to create a link to a websit   | html-css           1.00 | ✓
Suggest a suitable HTML tag to display the followi   | html-css           1.00 | ✓
Modify the following CSS Code so that it will targ   | html-css           1.00 | ✓
Using HTML, create a simple table showing a list o   | html-css           1.00 | ✓
Write CSS code to style a web page with a white ba   | html-css           1.00 | ✓
Use HTML to create a basic web page which displays   | html-css           1.00 | ✓
Create an HTML form with a submit button that will   | html-css           1.00 | ✓
Create an HTML form that has two input fields, fir   | html-css           1.00 | ✓
Rewrite the following HTML code in valid XML synta   | html-css           1.00 | ✓
Create an HTML form with two inputs, one to enter    | html-css           1.00 | ✓
Can you generate CSS for a div with an id of "cont   | html-css           1.00 | ✓
Create an HTML5 document with an h1 tag containing   | html-css           1.00 | ✓
Create an HTML form to take user input with two fi   | html-css           1.00 | ✓
Write HTML code to create a webpage that has two p   | html-css           1.00 | ✓
Convert the following string of HTML into a DOM tr   | lua-upy            1.00 | ✗ (target=html-css)
Generate a JS code snippet to switch between two c   | html-css           1.00 | ✓
Construct an HTML page with a title "My Website" a   | html-css           1.00 | ✓
Change the CSS style of the paragraph element belo   | html-css           1.00 | ✓
Create an HTML table with 3 rows and 4 columns.      | html-css           1.00 | ✓
Write a CSS style sheet for displaying a two-colum   | html-css           1.00 | ✓
Create a CSS class called "black-background" that    | html-css           1.00 | ✓
Using CSS, write a code snippet to display a text    | html-css           1.00 | ✓
Write an HTML code snippet to create a checkbox wi   | html-css           0.99 | ✓
Create a proper HTML string that presents a table    | html-css           1.00 | ✓
Edit the given code snippet to generate a table in   | html-css           1.00 | ✓
Write an HTML code snippet to override the default   | html-css           1.00 | ✓
Design an HTML form with the following fields: fir   | html-css           1.00 | ✓
Create an HTML page that displays an alert when a    | html-css           1.00 | ✓
Write a CSS code to make an element's background c   | html-css           1.00 | ✓
Given the following HTML structure, write a CSS se   | html-css           1.00 | ✓
Edit a given HTML page and add a new link.           | lua-upy            1.00 | ✗ (target=html-css)
Edit the following HTML code snippet to change the   | html-css           1.00 | ✓
Create an HTML page to display a table of students   | html-css           1.00 | ✓
What is the name of the attribute for creating a h   | html-css           1.00 | ✓
Change the following line of HTML code so that the   | html-css           1.00 | ✓
Identify the HTML element and its attributes used    | html-css           1.00 | ✓
Write an HTML table with two columns for 'name' an   | html-css           1.00 | ✓
Edit this HTML form to make sure that the input da   | html-css           1.00 | ✓
Update the following HTML element with a new backg   | html-css           1.00 | ✓
Write an HTML link tag to open a link in a new tab   | html-css           1.00 | ✓
Change the HTML code to open a link in a new tab w   | html-css           1.00 | ✓
Create a CSS rule to make the text of an element b   | html-css           1.00 | ✓
Generate a css code block to create a white text s   | html-css           1.00 | ✓
How to write a CSS style to make a text larger?      | html-css           1.00 | ✓
Create a HTML page to display the top 5 scores fro   | html-css           1.00 | ✓
Create a HTML page with a table with three columns   | html-css           1.00 | ✓
Create an HTML page where the main content area ha   | html-css           1.00 | ✓
Write a CSS rule that changes the font-family of t   | html-css           1.00 | ✓
Create a css class to center the text in a given d   | python             1.00 | ✗ (target=html-css)
How to write an HTML page that displays the number   | html-css           1.00 | ✓
Write a CSS code to align the text within a `<div>   | html-css           1.00 | ✓
Edit this HTML code so it uses classes instead of    | html-css           1.00 | ✓
Edit the following CSS code to update the color to   | html-css           0.99 | ✓
Create an HTML page with a text box that stores en   | html-css           1.00 | ✓
Create an HTML page that prints "Hello World!" and   | html-css           0.99 | ✓
Build an HTML form containing 3 input elements (na   | html-css           1.00 | ✓
Convert the following HTML to CSS.                   | html-css           1.00 | ✓
Write CSS code to change the background color of a   | html-css           1.00 | ✓
Write a HTML tag to create an ordered list.          | html-css           1.00 | ✓
Write a basic HTML structure with two navigation l   | html-css           1.00 | ✓
Write a function to parse a string of HTML and rep   | python             1.00 | ✗ (target=html-css)
Construct an HTML table with two columns and 4 row   | html-css           1.00 | ✓
Analyze the following CSS code for possible errors   | html-css           1.00 | ✓
Create a CSS rule to make all elements in the page   | html-css           1.00 | ✓
Create a web page with a CSS style to hide all par   | html-css           1.00 | ✓
Create a web page that uses CSS to style a given p   | html-css           1.00 | ✓
Construct this HTML table including the table head   | html-css           1.00 | ✓
Write an HTML page that displays a single line of    | html-css           1.00 | ✓
Write an HTML code snippet to display a blue heart   | html-css           1.00 | ✓
Create a HTML page that contains the following tex   | html-css           1.00 | ✓
Create an HTML form that, when submitted, displays   | html-css           1.00 | ✓
Augment the following HTML structure to include a    | html-css           1.00 | ✓
What attribute in HTML is used to completely hide    | html-css           1.00 | ✓
Implement an MQTT publisher en MicroPython pour ES   | iot                1.00 | ✓
Generate a PCB layout avec atopile DSL pour rapid    | dsp                0.86 | ✗ (target=kicad-dsl)
Calculate impedance d'une trace différentielle 100   | math               0.90 | ✗ (target=kicad-pcb)
Comment compute embeddings batch avec Jina v3 sur    | llm-orch           0.99 | ✓
[[------------------------------------- REMOTE FUN   | lua-upy            1.00 | ✓
[ KEYBOARD FUNCTIONS ]----------------------------   | lua-upy            0.99 | ✓
[ SETTINGS ] --                                      | llm-orch           0.95 | ✗ (target=lua-upy)
// Use the below table to set command permissions;   | shell              1.00 | ✗ (target=lua-upy)
How many times per second the gun can fire           | reasoning          0.96 | ✗ (target=lua-upy)
For R15 avatars                                      | docker             0.99 | ✗ (target=lua-upy)
--------------------=[ OUTROS ]=------------------   | docker             0.99 | ✗ (target=lua-upy)
Number of lines used to draw axis circles            | reasoning          1.00 | ✗ (target=lua-upy)
[[ The Module ]]                                     | kicad-dsl          1.00 | ✗ (target=lua-upy)
//////////////////////////////////////////////////   | docker             1.00 | ✗ (target=lua-upy)
[[
	Render the child component so that ExternalEve   | web-frontend       1.00 | ✗ (target=lua-upy)
Import relevant references                           | docker             0.98 | ✗ (target=lua-upy)
edit the function below to return true when you wa   | typescript         1.00 | ✗ (target=lua-upy)
Función para desaparecer el bloque                   | chat-fr            0.99 | ✗ (target=lua-upy)
Use entrance-easing when adding elements to the vi   | sql                0.99 | ✗ (target=lua-upy)
Bookkeeping of all active GlobalDataStore/OrderedD   | reasoning          0.98 | ✗ (target=lua-upy)
-- returns current 'pc' and marks it as a jump tar   | rust               0.93 | ✗ (target=lua-upy)
Get points and listen for changes:                   | power              0.98 | ✗ (target=lua-upy)
Roblox character sound script                        | music-audio        1.00 | ✗ (target=lua-upy)
Initialization                                       | rust               0.98 | ✗ (target=lua-upy)
--[[
	--Main anchor point is the DriveSeat <car.Dr   | rust               0.95 | ✗ (target=lua-upy)
Called when character is added                       | typescript         0.98 | ✗ (target=lua-upy)
Movement mode standardized to Enum.ComputerCameraM   | platformio         0.95 | ✗ (target=lua-upy)
Game services                                        | typescript         0.99 | ✗ (target=lua-upy)
Connect 'Blocked' event to the 'onPathBlocked' fun   | typescript         0.97 | ✗ (target=lua-upy)
p.Ground(part"because cframe and position", zone s   | shell              0.99 | ✗ (target=lua-upy)
[[Mobile Support]]                                   | docker             0.88 | ✗ (target=lua-upy)
[[ Settings Changed Connections ]]                   | devops             0.90 | ✗ (target=lua-upy)
ROBLOX deviation END                                 | shell              0.94 | ✗ (target=lua-upy)
Made by Luckymaxer                                   | docker             1.00 | ✗ (target=lua-upy)
Handle joining general channel first.                | power              0.94 | ✗ (target=lua-upy)
return to idle if finishing an emote                 | rust               0.97 | ✗ (target=lua-upy)
[[ By: Brutez. ]]                                    | docker             0.99 | ✗ (target=lua-upy)
TableUtil
-- Stephen Leitnick
-- September 13, 201   | reasoning          1.00 | ✗ (target=lua-upy)
Libraries                                            | docker             1.00 | ✗ (target=lua-upy)
Register touched events.                             | kicad-dsl          0.97 | ✗ (target=lua-upy)
local REGEX_BACKSLASH, REGEX_REMOVE_BACKSLASH, REG   | yaml-json          0.99 | ✗ (target=lua-upy)
RUNNING SCRIPT--
-------------------------------     | shell              1.00 | ✗ (target=lua-upy)
Récupérez le joueur local                            | chat-fr            1.00 | ✗ (target=lua-upy)
FEATURE METHODS                                      | rust               1.00 | ✗ (target=lua-upy)
@Description Return true if the specified instance   | kicad-dsl          1.00 | ✗ (target=lua-upy)
[=[
	Alias for [Subscription.Destroy].
]=]           | python             0.96 | ✗ (target=lua-upy)
[=[
	Removes a prefix from a string if it exists
	   | python             1.00 | ✗ (target=lua-upy)
// Remote                                            | reasoning          1.00 | ✗ (target=lua-upy)
Concatenate these two tables, return result.         | sql                1.00 | ✗ (target=lua-upy)
[[**
	ensures value is a number where min <= value   | lua-upy            0.99 | ✓
play particles + w/ custom                           | yaml-json          0.98 | ✗ (target=lua-upy)
Write a MicroPython driver pour SHT4x sensor         | shell              0.95 | ✗ (target=lua-upy)
Function to simulate day-night cycle                 | lua-upy            0.98 | ✓
[[BodyColors.HeadColor=BrickColor.new("Grime")
loc   | python             1.00 | ✗ (target=lua-upy)
<< Variables >> --                                   | math               0.99 | ✗ (target=lua-upy)
[[Output Scaling Factor]]                            | math               0.94 | ✗ (target=lua-upy)
-- You DO NOT need to add yourself to any of these   | sql                1.00 | ✗ (target=lua-upy)
--| Script Logic |--
--------------------            | shell              1.00 | ✗ (target=lua-upy)
<< VARIABLES >>                                      | math               0.98 | ✗ (target=lua-upy)
Takes an array and flips its values into dictionar   | python             1.00 | ✗ (target=lua-upy)
[[**
	ensures Roblox RaycastParams type

	@param v   | kicad-dsl          0.96 | ✗ (target=lua-upy)
Made by Shea from RTWS on YouTube - If you haven't   | docker             1.00 | ✗ (target=lua-upy)
CONFIGURABLE VARIABLES]]--------------------------   | kicad-dsl          0.99 | ✗ (target=lua-upy)
Variables--                                          | reasoning          1.00 | ✗ (target=lua-upy)
simple if statements, decides where the Tool will    | kicad-dsl          1.00 | ✗ (target=lua-upy)
ROBLOX FIXME Luau: doesn't see `if element` as nil   | typescript         0.99 | ✗ (target=lua-upy)
Define the function to open or close the window wi   | lua-upy            1.00 | ✓
Import into an entire datastore type:                | typescript         1.00 | ✗ (target=lua-upy)
[[**
	<description>
	Increment the cached result b   | yaml-json          0.97 | ✗ (target=lua-upy)
print("building and not player")                     | rust               0.95 | ✗ (target=lua-upy)
If a reason was non-blank, the following is concat   | reasoning          1.00 | ✗ (target=lua-upy)
[[ Last synced 10/14/2020 09:33 || RoSync Loader ]   | docker             0.97 | ✗ (target=lua-upy)
Changes made from EchoReaper's version:              | docker             0.99 | ✗ (target=lua-upy)
Local private variables and constants                | kicad-dsl          0.99 | ✗ (target=lua-upy)
[[
    Creates a new controller associated with th   | kicad-dsl          0.99 | ✗ (target=lua-upy)
[[ Channel Settings ]]                               | dsp                0.99 | ✗ (target=lua-upy)
END BACKLIGHTS--------                               | docker             0.97 | ✗ (target=lua-upy)
[[Steering]]                                         | reasoning          0.99 | ✗ (target=lua-upy)
int rd_int_le(string src, int s, int e)
-- @src -    | typescript         0.99 | ✗ (target=lua-upy)
[[**
	ensures Roblox Random type

	@param value Th   | typescript         0.93 | ✗ (target=lua-upy)
Note, arguments do not match the new math.clamp
--   | reasoning          0.99 | ✗ (target=lua-upy)
[=[
	Initializes the service bag and ensures recur   | kicad-dsl          0.99 | ✗ (target=lua-upy)
Internal function that finds an existing hitbox fr   | kicad-dsl          0.99 | ✗ (target=lua-upy)
[[
	When the player plays a chord, this method wil   | typescript         0.97 | ✗ (target=lua-upy)
Checks for conditions for enabling/disabling the a   | kicad-dsl          0.99 | ✗ (target=lua-upy)
Brake Lights On ----------                           | docker             0.97 | ✗ (target=lua-upy)
[[ Window Settings ]]                                | docker             0.98 | ✗ (target=lua-upy)
[[Engine]]                                           | docker             0.99 | ✗ (target=lua-upy)
declarations                                         | reasoning          0.99 | ✗ (target=lua-upy)
Loop through all players when model added            | music-audio        0.99 | ✗ (target=lua-upy)
//Main Function                                      | lua-upy            1.00 | ✓
bp.Position = shelly.PrimaryPart.Position            | reasoning          0.99 | ✗ (target=lua-upy)
Remove with FFlagUserClickToMoveFollowPathRefactor   | dsp                1.00 | ✗ (target=lua-upy)
scripting level 1000000: go
-- if you type 2 dashe   | typescript         1.00 | ✗ (target=lua-upy)
init chat bubble tables                              | sql                0.93 | ✗ (target=lua-upy)
Roblox User Input Control Modules - each returns a   | kicad-dsl          0.99 | ✗ (target=lua-upy)
message recieved, delete StringValue                 | sql                0.97 | ✗ (target=lua-upy)
Slider sizes (Fast)                                  | sql                0.98 | ✗ (target=lua-upy)
[[Misc]]                                             | reasoning          0.98 | ✗ (target=lua-upy)
Left lean                                            | reasoning          1.00 | ✗ (target=lua-upy)
Handle event fire                                    | typescript         0.96 | ✗ (target=lua-upy)
CONFIG VARIABLES                                     | kicad-dsl          0.99 | ✗ (target=lua-upy)
[=[
	Observes for the key
	@param key TKey
	@retur   | reasoning          0.92 | ✗ (target=lua-upy)
print("Keyframe : ".. frameName)                     | rust               1.00 | ✗ (target=lua-upy)
The registry keeps track of all the commands and t   | typescript         0.98 | ✗ (target=lua-upy)
print("Wha " .. pose)                                | python             0.98 | ✗ (target=lua-upy)
Make NPC jump                                        | power              0.95 | ✗ (target=lua-upy)
AUDIENCE BACK LEFT--------                           | docker             1.00 | ✗ (target=lua-upy)
Collision checking--                                 | security           0.96 | ✗ (target=lua-upy)
<< SETUP >>                                          | iot                1.00 | ✗ (target=lua-upy)
This local script will run only for the player who   | music-audio        1.00 | ✗ (target=lua-upy)
sink plug handler -----                              | emc                0.99 | ✗ (target=lua-upy)
rbxthumb://type=Asset&id=00000000&w=420&h=420 -- u   | rust               0.97 | ✗ (target=lua-upy)
Module 3                                             | kicad-dsl          1.00 | ✗ (target=lua-upy)
[[
	UI to select the surface art to place onto the   | sql                0.99 | ✗ (target=lua-upy)
-- parse function declaration body
-- * used in si   | lua-upy            1.00 | ✓
Automatic Gauge Scaling                              | shell              0.95 | ✗ (target=lua-upy)
Stuff (do not edit below)                            | docker             0.99 | ✗ (target=lua-upy)
Left Leg                                             | reasoning          1.00 | ✗ (target=lua-upy)
[[
	A simplistic spring implementation.
]]           | typescript         0.95 | ✗ (target=lua-upy)
[=[
	@param fn (player: Player, ...: any) -> nil -   | music-audio        0.99 | ✗ (target=lua-upy)
Where it says Volume 0 is where you change the vol   | sql                0.97 | ✗ (target=lua-upy)
Stickmasterluke                                      | reasoning          0.99 | ✗ (target=lua-upy)
[[ FUNCTIONS ]]                                      | lua-upy            1.00 | ✓
body.HB.BrickColor = bool and BrickColor.new("Pear   | rust               0.97 | ✗ (target=lua-upy)
An unusual bicycle has 20 spokes on the front whee   | math               0.99 | ✓
James joins a football team and becomes the star.    | reasoning          1.00 | ✗ (target=math)
If Clover goes for a 1.5-mile walk in the morning    | reasoning          1.00 | ✗ (target=math)
Cupcakes are sold in packages of 10 and 15. Jean b   | reasoning          1.00 | ✗ (target=math)
Connie is trying to remember when her grandmother    | reasoning          1.00 | ✗ (target=math)
Karen is packing her backpack for a long-distance    | reasoning          1.00 | ✗ (target=math)
Steve wanted to make a total of $100 within four d   | reasoning          1.00 | ✗ (target=math)
Tom uses 10 weight plates each weighing 30 pounds    | docker             1.00 | ✗ (target=math)
There are six chairs in each row in a church. If t   | math               1.00 | ✓
Troy had 300 straws. He fed 3/5 of the straws to t   | reasoning          1.00 | ✗ (target=math)
